Entry	Organism	Gene Names	Protein names	EC number
P05986	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TPK3 PKA3 YKL166C YKL630	cAMP-dependent protein kinase type 3 (PKA 3) (EC 2.7.11.11)	2.7.11.11
P06100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC36 DNA19 NOT2 YDL165W	General negative regulator of transcription subunit 2 (cell division cycle protein 36)	
P06101	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC37 SMO1 YDR168W YD9489.03	Hsp90 co-chaperone Cdc37 (Cell division control protein 37) (Hsp90 chaperone protein kinase-targeting subunit)	
P06102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NOT3 YIL038C	General negative regulator of transcription subunit 3	
P06103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PRT1 CDC63 YOR361C	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Cell cycle regulation and translation initiation protein) (Eukaryotic translation initiation factor 3 90 kDa subunit) (eIF3 p90) (Translation initiation factor eIF3 p90 subunit)	
P06104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD6 UBC2 YGL058W	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Radiation sensitivity protein 6) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	2.3.2.23
P06105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SCP160 HX YJL080C J1017	Protein SCP160 (Protein HX)	
P06106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MET17 MET15 MET25 YLR303W L8003.1	Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase) (OAS-OAH SHLase) (OAS-OAH sulfhydrylase)	2.5.1.47; 2.5.1.49
P06115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CTT1 YGR088W	Catalase T (EC 1.11.1.6)	1.11.1.6
P06168	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ILV5 YLR355C L9638.7	Ketol-acid reductoisomerase, mitochondrial (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Isoleucine-plus-valine requiring protein 5)	1.1.1.86
P06169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PDC1 YLR044C L2104	Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	4.1.1.-; 4.1.1.43; 4.1.1.72; 4.1.1.74
P06197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PIS1 PIS YPR113W P8283.5	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	2.7.8.11
P06208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	LEU4 YNL104C N2173	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	2.3.3.13
P06242	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	KIN28 YDL108W D2330	Serine/threonine-protein kinase KIN28 (EC 2.7.11.23)	2.7.11.23
P06243	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC7 OAF2 YDL017W D2855	Cell division control protein 7 (EC 2.7.11.1)	2.7.11.1
P06244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TPK1 PKA1 SRA3 YJL164C J0541	cAMP-dependent protein kinase type 1 (PKA 1) (EC 2.7.11.11) (CDC25-suppressing protein kinase) (PK-25)	2.7.11.11
P06245	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TPK2 PKA2 YKR1 YPL203W	cAMP-dependent protein kinase type 2 (PKA 2) (EC 2.7.11.11)	2.7.11.11
P06367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS14A CRY1 RPL59 YCR031C YCR31C	Small ribosomal subunit protein uS11A (40S ribosomal protein S14-A) (RP59A)	
P06634	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DED1 SPP81 YOR204W	ATP-dependent RNA helicase DED1 (EC 3.6.4.13) (DEAD box protein 1) (Defines essential domain protein 1)	3.6.4.13
P06700	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SIR2 MAR1 YDL042C D2714	NAD-dependent histone deacetylase SIR2 (EC 2.3.1.286) (Regulatory protein SIR2) (Silent information regulator 2)	2.3.1.286
P06701	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SIR3 CMT1 MAR2 STE8 YLR442C L9753.10	Regulatory protein SIR3 (Silent information regulator 3)	
P06704	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC31 DSK1 YOR257W	Cell division control protein 31 (Nuclear pore protein CDC31) (Nucleoporin CDC31)	
P06738	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GPH1 YPR160W P9584.1	Glycogen phosphorylase (EC 2.4.1.1)	2.4.1.1
P06774	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HAP2 YGL237C	Transcriptional activator HAP2	
P06777	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD1 YPL022W	DNA repair protein RAD1	
P06778	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD52 YML032C	DNA repair and recombination protein RAD52	
P06779	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD7 YJR052W J1665	DNA repair protein RAD7	
P06780	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RHO1 YPR165W P9325.3	GTP-binding protein RHO1 (EC 3.6.5.2) (Rho-type GTPase 1)	3.6.5.2
P06781	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RHO2 YNL090W N2237	GTP-binding protein RHO2 (EC 3.6.5.2)	3.6.5.2
P06782	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SNF1 CAT1 CCR1 GLC2 PAS14 YDR477W D8035.20	Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1)	2.7.11.1
P06784	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	STE7 YDL159W D1525	Serine/threonine-protein kinase STE7 (EC 2.7.12.2)	2.7.12.2
P06785	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC21 CRT9 TMP1 YOR074C YOR29-25	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45) (Cell division cycle protein 21) (Constitutive RNR3 transcription protein 9)	2.1.1.45
P06786	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TOP2 TOR3 YNL088W N2244	DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II)	5.6.2.2
P06787	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CMD1 YBR109C YBR0904	Calmodulin (CaM)	
P06838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD10 YML095C	DNA repair protein RAD10	
P06839	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD3 REM1 YER171W	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 3.6.4.12) (DNA repair helicase RAD3) (RNA polymerase II transcription factor B subunit RAD3) (TFB subunit RAD3)	3.6.4.12
P06843	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SPT2 SIN1 SPM2 YER161C	Protein SPT2 (Negative regulator of Ty transcription)	
P06844	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SPT3 YDR392W D9509.12	Protein SPT3 (Positive regulator of Ty transcription)	
P07143	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CYT1 CTC1 YOR065W YOR29-16	Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome c oxidoreductase cytochrome c1 subunit) (Cytochrome c-1)	7.1.1.8
P07149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FAS1 YKL182W	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	1.3.1.9; 2.3.1.38; 2.3.1.39; 2.3.1.86; 3.1.2.14; 4.2.1.59
P07170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ADK1 AKY AKY1 AKY2 YDR226W YD9934.11	Adenylate kinase (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate kinase cytosolic and mitochondrial) (Adenylate monophosphate kinase)	2.7.4.3
P07213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	TOM70 MAS70 OMP1 YNL121C N1905	Mitochondrial import receptor subunit TOM70 (70 kDa mitochondrial outer membrane protein) (Translocase of outer membrane 70 kDa subunit)	
P07244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ADE57 ADE5,7 YGL234W	Bifunctional purine biosynthetic protein ADE5,7 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GAR synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIR synthetase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)]	6.3.3.1; 6.3.4.13
P07245	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ADE3 YGR204W G7733	C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	1.5.1.5; 3.5.4.9; 6.3.4.3
P07246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ADH3 YMR083W YM9582.08	Alcohol dehydrogenase 3, mitochondrial (EC 1.1.1.1) (Alcohol dehydrogenase III) (YADH-3)	1.1.1.1
P07248	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ADR1 YDR216W YD8142.16 YD8142B.08	Regulatory protein ADR1	
P07249	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ARG80 ARGR1 YMR042W YM9532.07	Arginine metabolism regulation protein I (Arginine-requiring protein 80)	
P07250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ARG82 ARGR3 GSL3 IPK2 YDR173C YD9395.06C	Inositol polyphosphate multikinase (IPMK) (EC 2.7.1.127) (EC 2.7.1.151) (Arginine metabolism regulation protein III) (GLE1 synthetic lethal protein 3) (Inositol polyphosphate kinase 2)	2.7.1.127; 2.7.1.151
P07251	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ATP1 YBL099W YBL0827	ATP synthase subunit alpha, mitochondrial	
P07255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COX9 YDL067C D2520	Cytochrome c oxidase subunit 9, mitochondrial (Cytochrome c oxidase polypeptide VIIA)	
P07256	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	COR1 QCR1 YBL045C YBL0403	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)	
P07257	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	QCR2 COR2 UCR2 YPR191W P9677.6	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome c oxidoreductase core protein 2)	
P07259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	URA2 YJL130C J0686	Protein URA2 [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2)]	2.1.3.2; 6.3.5.5
P07260	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC33 TIF45 YOL139C	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	
P07261	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GCR1 SIT3 YPL075W LPF10W	Glycolytic genes transcriptional activator GCR1	
P07263	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	HTS1 YPR033C YP9367.13C	Histidine--tRNA ligase, mitochondrial (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	6.1.1.21
P07264	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	LEU1 YGL009C	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	4.2.1.33
P07267	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PEP4 PHO9 PRA1 YPL154C P2585	Saccharopepsin (EC 3.4.23.25) (Aspartate protease) (PrA) (Proteinase A) (Carboxypeptidase Y-deficient protein 4) (Proteinase YSCA)	3.4.23.25
P07269	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PHO2 BAS2 GRF10 YDL106C D2350	Regulatory protein PHO2 (General regulatory factor 10)	
P07270	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PHO4 YFR034C	Phosphate system positive regulatory protein PHO4	
P07271	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PIF1 TST1 YML061C YM9958.01C	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1) (Petite integration frequency protein 1) (Telomere stability protein 1)	3.6.4.12
P07273	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	DST1 PPR2 YGL043W	Transcription elongation factor S-II (DNA strand transfer protein alpha) (STP-alpha) (DNA strand transferase 1) (Pyrimidine pathway regulatory protein 2)	
P07274	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PFY1 PFY PRF1 YOR122C O3275 YOR3275C	Profilin	
P07276	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RAD2 YGR258C	DNA repair protein RAD2 (EC 3.1.-.-)	3.1.-.-
P07277	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ERG12 RAR1 YMR208W YM8261.02	Mevalonate kinase (MK) (MvK) (EC 2.7.1.36) (Ergosterol biosynthesis protein 12) (Regulation of autonomous replication protein 1)	2.7.1.36
P07278	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	BCY1 REG1 SRA1 YIL033C	cAMP-dependent protein kinase regulatory subunit (cAPK regulatory subunit) (Bypass of cyclase mutations protein 1) (Protein kinase A regulatory subunit) (PKA regulatory subunit)	
P07280	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS19A RP55A RPS16AA YOL121C	Small ribosomal subunit protein eS19A (40S ribosomal protein S19-A) (RP55A) (S16a) (YP45) (YS16A)	
P07281	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPS19B RP55B RPS16AB YNL302C N0422	Small ribosomal subunit protein eS19B (40S ribosomal protein S19-B) (RP55B) (S16a) (YS16B)	
P07283	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SEC53 ALG4 YFL045C	Phosphomannomutase (PMM) (EC 5.4.2.8) (Asparagine-linked glycosylation protein 4)	5.4.2.8
P07286	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ALG7 TUR1 YBR243C YBR1628	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase) (Tunicamycin resistance protein 1)	2.7.8.15
P07342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ILV2 SMR1 YMR108W YM9718.07	Acetolactate synthase catalytic subunit, mitochondrial (EC 2.2.1.6) (Acetohydroxy-acid synthase catalytic subunit) (AHAS) (ALS)	2.2.1.6
P07347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ARD1 YHR013C	N-terminal acetyltransferase A complex catalytic subunit ARD1 (NatA complex subunit ARD1) (EC 2.3.1.255) (Arrest-defective protein 1)	2.3.1.255
P07560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SEC4 SRO6 YFL005W	Ras-related protein SEC4 (Suppressor of RHO3 protein 6)	
P07702	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	LYS2 YBR115C YBR0910	L-2-aminoadipate reductase (EC 1.2.1.31) (EC 1.2.1.95) (Alpha-aminoadipate reductase) (Alpha-AR) (L-aminoadipate-semialdehyde dehydrogenase)	1.2.1.31; 1.2.1.95
P07703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPC40 RPC5 YPR110C P8283.18	DNA-directed RNA polymerases I and III subunit RPAC1 (RNA polymerases I and III subunit AC1) (C37) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (AC40) (C40)	
P07834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC4 YFL009W	Cell division control protein 4 (E3 ubiquitin ligase complex SCF subunit CDC4) (F-box protein CDC4)	
P07866	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	LTE1 EIS4 MSI2 YAL024C	Guanine nucleotide exchange factor LTE1 (Low temperature essential protein 1)	
P07884	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MOD5 YOR274W	tRNA dimethylallyltransferase (DMATase) (EC 2.5.1.75) (Isopentenyl-diphosphate: tRNA isopentenyltransferase) (IPP transferase) (IPPT) (tRNA isopentenyltransferase) (IPTase)	2.5.1.75
P07991	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CAR2 CARGB YLR438W L9753.2	Ornithine aminotransferase (OTAse) (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	2.6.1.13
P08004	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CHS1 YNL192W N1404	Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1)	2.4.1.16
P08018	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	PBS2 HOG4 SFS4 SSK4 YJL128C J0699	MAP kinase kinase PBS2 (EC 2.7.12.2) (Polymyxin B resistance protein 2) (Suppressor of fluoride sensitivity 4)	2.7.12.2
P08067	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RIP1 YEL024W	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Rieske iron-sulfur protein) (RISP) (Ubiquinol-cytochrome c oxidoreductase iron-sulfur subunit)	7.1.1.8
P08153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SWI5 YDR146C YD8358.03C	Transcriptional factor SWI5	
P08417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FUM1 YPL262W	Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)	4.2.1.2
P08425	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MSF1 YPR047W YP9499.05	Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)	6.1.1.20
P08432	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SPE1 ORD1 YKL184W	Ornithine decarboxylase (ODC) (EC 4.1.1.17)	4.1.1.17
P08458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SPS1 YDR523C D9719.27	Sporulation-specific protein 1 (EC 2.7.11.1)	2.7.11.1
P08466	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NUC1 YJL208C HRE329 J0310	Mitochondrial nuclease (EC 3.1.30.-)	3.1.30.-
P08518	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	RPB2 RPB150 RPO22 YOR151C	DNA-directed RNA polymerase II subunit RPB2 (RNA polymerase II subunit 2) (EC 2.7.7.6) (B150) (DNA-directed RNA polymerase II 140 kDa polypeptide)	2.7.7.6
P08524	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ERG20 BOT3 FDS1 FPP1 YJL167W J0525	Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)	2.5.1.1; 2.5.1.10
P08525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	QCR8 YJL166W J0526	Cytochrome b-c1 complex subunit 8, mitochondrial (Complex III subunit 8) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 8) (Ubiquinol-cytochrome c reductase complex 11 kDa protein) (Ubiquinone-binding protein QP-C)	
P08536	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MET3 YJR010W J1436	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Methionine-requiring protein 3) (Sulfate adenylate transferase) (SAT)	2.7.7.4
P08539	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GPA1 CDC70 DAC1 SCG1 YHR005C	Guanine nucleotide-binding protein alpha-1 subunit (GP1-alpha)	
P08566	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	ARO1 AROM YDR127W YD9302.02	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4
P08638	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	LEU3 YLR451W L9324.1	Regulatory protein LEU3	
P08640	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FLO11 MAL5 MUC1 S1 S2 YIR019C	Flocculation protein FLO11 (Flo11p) (Flocculin-11) (Mucin-like protein 1)	
P08678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CYR1 CDC35 HSR1 SRA4 YJL005W J1401	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	4.6.1.1
P08679	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CIT2 YCR005C YCR043 YCR5C	Citrate synthase, peroxisomal (EC 2.3.3.16)	2.3.3.16
P08964	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	MYO1 YHR023W	Myosin-1 (Type II myosin)	
P09032	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	GCD1 TIF223 TRA3 YOR260W	Translation initiation factor eIF-2B subunit gamma (GCD complex subunit GCD1) (Guanine nucleotide exchange factor subunit GCD1) (eIF-2B GDP-GTP exchange factor subunit gamma)	
P09064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	SUI3 TIF212 YPL237W	Eukaryotic translation initiation factor 2 subunit beta (eIF-2-beta)	
P09119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	CDC6 YJL194W J0347	Cell division control protein 6	
P09201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	FBP1 YLR377C L8039.18	Fructose-1,6-bisphosphatase (FBPase) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)	3.1.3.11
